WO Description,WO rem long desc,Cause object
23256-n : kpot-29302362;(+)loading,adjusted ls6,Limit Switch / Sensor
23256-n : kpot-29302511;(+)loading,lid hook cotter pin missing,Pin / Clip
23256-n : kpot-65769766;(+)loading,crew reported locking ring will not close . burke closed the door and it worked fine.,Clevis
23256-n : kpot-65769850;(+)loading,thrust worker hoses in the way of lid hook - ran multiple cycles after moving,Screw
23256-n : kpot-58124871;(-)membrane psi,hole in membrane,Membrane
replaced v21,replaced v21 and union,Shut Off Valve
d3 gasket is leaking and d3bis plug is leaking,replaced d3bis endcap and gasket,Fitting
uniformity checklist,didn't really find anything on the checklist . did find that the lid lower never went to high speed so worker changed the leaking d1 ter diaphragm.,Diaphragm
23256-d : kpot-88647916;(-)membrane temp,quality tech did not initialize press after changing dsp duration.,POST / STUD
23256-d : kpot-88647927;(-)membrane temp,quality tech did not initialize press after changing dsp duration.,POST / STUD
23256-d : kpot-88647906;(-)membrane psi,quality tech did not initialize press after changing dsp duration.,POST / STUD
23256-d : kpot-88647926;(-)membrane psi,quality tech did not initialize press after changing dsp duration.,POST / STUD
membrane not going to precon,d20 solenoid not energizing . replaced d20 solenoid,Solenoid / Coil
membrane not making precomf,refer to grs3975616,Solenoid / Coil
23256-d : kpot-88647966;(-)membrane psi,quality tech changing dsp time did not initialize press,POST / STUD
23256-d : kpot-52667049;(+)loading,prr adjusted lid guides on press and moved ls flag accidentally . prr adjusted ls flag and restarted press,Limit Switch / Sensor
uniformity checklist,replaced d02 orifice,Orifice
want load cover mb not rasing,d20 bis solenoid leaking by . replaced d20 solenoid,Solenoid / Coil
23256-d : kpot-18101384;(+)loading,ls10 not made while lid lowering . ls10 arm bent out of the way of flag on lid . bent arm back in line with flag . had operator restart press,Limit Switch / Sensor
23256-d : kpot-88735202;(+)removed from auto,ls12 not made . even when worker got the lid down all the way it wasn't made . worker unplugged and plugged the prox back in and it started making again . worker turned the press back over to the operator to see if it needs to be cleaned out or not before restarted.,Proximity Sensor / Switch
d18 dia leaking,replaced dia,Process/CQ-Related
23256-d : kpot-18101440;(+)loading,"moved/adjusted ls10 . ran press in manual to verify that ls10 was being made, and ran press through dry cycle to make sure ls10 was being made . restarted press",Limit Switch / Sensor
23256-d : kpot-14773867;(+)removed from auto,air union going to the jib air cutoff broke . replaced,Fitting
remove b shell and csp's by 71 9/15/2023,pulled b-shell for press,Process/CQ-Related
23256-d : kpot-12792405;(+)extraction,replaced ps7,Pressure switch
not reheating,replaced head on ls10,Limit Switch / Sensor
23257-n : kpot-51944371;(+)extraction,blow out down stairs . had to shut press off . d7 gasket.,Orifice
23257-n : kpot-12792913;(-)membrane psi,broken air line on v9,Tube
jib fingers no open,the adjustment piece for the jib fingers wasnt working properly . was mechanically binding the jib . replaced adjustment piece and adjusted jib fingers,Spring
91.1-o checklist,tire sticking to membrane . check list canceled.,Membrane
uniformity checklist started (conicity),completed . didn't see anything stand out.,Process/CQ-Related
23257-d : kpot-08214952;(-)membrane psi,"missing membrane oring after mold change . moldshop was certain put one on, but there wasn't one when worker pulled the membrane . put oring in and restarted it . ran fine after.",O-Ring
speed change on dim change,replaced orfices,Orifice
34.1 checklist,completed . replaced gasket on lid lower pipe.,Fitting
speed change,replaced orfices,Orifice
a12 lid leak,bolts holding in the lid shaft seal were loose . tightened and it stopped leaking.,Screw
23258-n : kpot-14774603;(+)membrane temp,replaced membrane rtd,Terminal block
lid lower hose busted,replaced lid lower hose,Flexible Tubing / Hose
23258-d : kpot-51950357;(+)loading,ls1 was loose . adjusted and tightened.,Limit Switch / Sensor
memb not defl,pneumatic line broke at the supply pipe which supplies compressed air to the cabinet . repaired.,Tube
23258-d : kpot-87981923;(+)extraction,clogged ps7,Pressure switch
23259-n : kpot-87982548;(+)consecutive l1s,poorly built membrane caused leak detect,Membrane
precon issues,ls20 flag had slid down,THREADED ROD
23259-d : kpot-51961059;(-)platen temp,output failed,Terminal block
jib fingers no work,foot pedal stuck down . pried it up.,Spring
23259-d : kpot-49934182;(+)removed from auto,right lid hook cylinder not opening all the way . adjusted the cylinder's threaded shaft to get more length on extension.,Shim
23259-d : kpot-49934197;(+)loading,ls10 was loose,Proximity Sensor / Switch
door latch won't reset,door latch filled with fluid . contacts/electrical components finally failed . replaced red door electrical latch,Safety Gate Interlock
23259-d : kpot-05948102;(+)extraction,ps4 failed . replaced it.,Pressure switch
cq 82.1f scrap 2 days consecutively-checklist started,did checklist . found nothing of note,Terminal block
cq 91.1 scrap - checklist started,did checklist . it had redundancies and one check that just described the normal function of dechucking a grinder . didn't find anything of note.,Washer
38.1 checklist,completed checklist,Spray nozzle
23260-n : kpot-88741265;(+)extraction,d7 was leaking fluid from the body of the valve,Flow Control Valve
23260-n : kpot-05948604;(+)loading,arm on ls10 had gotten loose,Limit Switch / Sensor
jib fingers not responding,foot pedal was stuck down,Limit Switch / Sensor
23260-n : kpot-88741405;(+)extraction,d19 diaphragm was bad,Diaphragm
38.1 checklist started,checklist completed.,Terminal block
24042-n : kpot-80516343;(-)moldback temp,moldback drain orifice broken,Orifice
24042-n : kpot-30266072;(+)loading,"lid down, hit ls27 for slow speed and stopped . d1 return pipe felt hot so changed d1 . ended up being d3 bis leaking by to return.",Directional Valve
24042-n : kpot-71794705;(+)extraction,tire stuck to top mold . removed tire and put press on reheat,Washer
cbo lift too fast for nano- timed at 3 sec open. getting 44.1,made sure the time was correct and then returned to service,Washer
24042-n : kpot-54359788;(+)loading,door switch was open . worker hit the green button to lock it and the jib took off and lid down and cured the cover . worker watched it load a second time and no issues.,Push Button
44.1 checklist on w07,completed . no issues found previous crew also looked at the press?,Washer
lid speed needs modified,changed orifice and timed good.,Terminal block
m/b keeps driffting below precon height,changed quick exhaust on d20,Flow Control Valve
hydraulic leak on top of press lid dripping into shell,lower lid fitting leaking,Fitting
24042-d : kpot-10836738;(-)membrane psi,was left turned off from a previous intervention,POST / STUD
lid catching on locking ring,mold shop tech didn't tighten any of the anti rotation pins,Rod / Bar
24042-d : kpot-10837011;(-)membrane psi,was left off after a previous intervention,POST / STUD
24042-d : kpot-71793006;(+)loading,previous crew said mold shop was working on press and could not work on it to resolve kpot . operator put press on reheat,Process/CQ-Related
memb. will not go down,d18 spring was broken preventing valve from un-actuating,Flow Control Valve
24043-n : kpot-51072888;(+)membrane temp,checked v22 orifice but didn't find a thing . sprayed some water inside valve and manifold . ran bypass and then returned to service.,Orifice
door wont lock,safety door relay was bad,Solenoid / Coil
24043-n : kpot-80517235;(-)membrane psi,ps12 did not make for some reason . couldn't replicate . fixed air leak on ps12 circuit.,Tube
membrane wont inflate,stretched membrane,Membrane
24043-n : kpot-45958664;(-)membrane psi,had operator replace membrane,Membrane
24043-d : kpot-80517680;(-)membrane psi,slow fill,POST / STUD
24043-d : kpot-34160280;(+)loading,arm on ls10 was loose,Limit Switch / Sensor
m/b keeps drifting down below precon height,changed d20,Directional Valve
24043-d : kpot-14839268;(-)membrane psi,told operator to change the membrane,Membrane
46.1    checklist,lid guides were out a little,Shim
jib fingers loose,jib fingers and cover fitment were both good.,Terminal block
24043-d : kpot-18282363;(-)membrane temp,"checked cross over pipe (there isn't one) checked orange hoses, ran bypass . got too busy during the day and had to pull off press, passing on to crew 2.",Terminal block
cbo lift not raising after cure,d19bis stuck open,Screw
24043-d : kpot-27580266;(+)extraction,ps7 failed,Pressure switch
24044-n : kpot-10838391;(+)loading,ls15 not made-adjusted,Limit Switch / Sensor
lid raise fault,"lid raise hose was preventing right side hook from closing, press did not know lid was raised . re-oriented lid lower hose to not interfere with lid hook.",Limit Switch / Sensor
24044-n : kpot-18282973;(-)membrane temp,o' ring for the membrane failed.,O-Ring
plc fault,cleared error,Software
24044-d : kpot-18287470;(+)dsp duration,ps7 failed and hard line was clogged - had to use heat to unplug it,Pressure switch
24044-d : kpot-86031428;(+)extraction,ps-7 failed replaced,Pressure switch
lid speed too slow,prr got it,Orifice
24044-d : kpot-51109886;(-)membrane temp,slow fill,TIMER
lid speed too slow,changed orifice from micro speed to nano speed . lid timed good.,Orifice
lid speed too slow,changed d1 bis because it appeared to be leaking thru . lid timed good.,Directional Valve
24044-d : kpot-27580686;(+)loading,ls10 had to be replaced,Limit Switch / Sensor
24044-d : kpot-29367297;(+)removed from auto,lid hose leaking/ turned into stop safety,Flexible Tubing / Hose
hyd leak,replaced lid r/l hose,Flexible Tubing / Hose
tech wants transducer looked at for potentially causing 72.1,transducers are reading accurately,POST / STUD
leak,took pipe off and got welded,Pipe / Rigid Tubing
24045-n : kpot-70980699;(-)moldback temp,bad moldback purge sol cable,Terminal block
24045-n : kpot-80519495;(-)moldback temp,moldback input sol wasnt working,Solenoid / Coil
24045-n : kpot-80519472;(+)extraction,kpotted in step 360 (raise membrane to top) oscar showed membrane to the top and went back down ran cycles could not duplicate membrane issue . had an lid raise issue that worker resolved regarding lid switches,Limit Switch / Sensor
24045-n : kpot-14838713;(-)platen temp,did not notice anything that needed fixing or replaced,Terminal block
24045-d : kpot-88849807;(+)dsp duration,ps7 failed,Pressure switch
jib finger needs replaced- bad burr on jib- needs tightening,filed jib finger to remove burr,Finger
24045-d : kpot-79533711;(+)removed from auto,operator cooked a membrane,POST / STUD
24045-d : kpot-18286630;(-)membrane temp,very old membrane rtd with crusting effect on it right nipple hose was pinching off v22 orifice was too small.removed pipe and both rtd's checked for build up and clogs,Temperature Sensor
46.1 checklist for d76- ctc launched from tqt,"found jib fitment loose, jib fingers loose, adjusted lid guides and ls-10",Process/CQ-Related
did not  12 stop at precon,newer stainless valve on d20 blowing by worker -cycled -returned to service returned valve to ar for investigation,Gate Valve / Faucet
ls 15 broke /ask mark,ls-1 wire broken replaced,Cable
24045-d : kpot-80520150;(+)extraction,left hook was stuck,Clamp
uniformity checklist,"found- ls-10 set 40 mm high, and jib fitment off, and adjusted lid guides",Process/CQ-Related
24045-d : kpot-18285026;(-)platen temp,processor failed,PLC / PLC Cards
24045-d : kpot-27581588;(+)loading,ls-10 head loose - adjusted and tightened,Proximity Sensor / Switch
24046-n : kpot-58899067;(-)membrane psi,hole in membrane,Membrane
24046-n : kpot-80520497;(+)extraction,left lid hook sometimes binding . lid hook pin was bent and also link bars were bent . replaced all.,Cylinder / Roll
jib is not picking up tire after tire being cured,lowered pickup height 10mm,Screw
24046-n : kpot-64802689;(+)loading,mount for right side lid hook limit switch loose . tightened limit switch,Limit Switch / Sensor
24046-d : kpot-27581977;(+)loading,ls10 arm was loose and adjusted the flag on the lid,Limit Switch / Sensor
press not loading,replaced psc1 head,Photocell
press not loading,psc1 was dirty,POST / STUD
m/b lowering past precon height,"d20bis staying picked up . replaced d20bis solenoid . after changing out solenoid, other outputs would not come on . re-seated cards on bottom backplane . put press on reheat",Input / Output Card
24046-d : kpot-64799656;(+)loading,lid hook stuck,Clevis
24046-d : kpot-64799664;(-)membrane psi,fixed broke airline on v9,Flexible Tubing / Hose
"wont load, check precon height",could not recreate issue,POST / STUD
wont load check precon height,"membrane cylinder struggles to go down . replaced d17, d18, d20, and solenoids . membrane cylinder shaft has scratches.",Shut Off Valve
